Addiscombe, Blackhorse Lane
Arena, Elmers End
Sandilands, Lloyd Park
George Street, Church Street
East Croydon, George Street
King Henry's Drive, New Addington
Fieldway, King Henry's Drive
Addington Village, Fieldway
Gravel Hill, Addington Village
Coombe Lane, Gravel Hill
Lloyd Park, Coombe Lane
Sandilands, Addiscombe
Lebanon Road, Sandilands
Mitcham Junction, Beddington Lane
Mitcham, Mitcham Junction
Belgrave Walk, Mitcham
Phipps Bridge, Belgrave Walk
Morden Road, Phipps Bridge
Merton Park, Morden Road
Dundonald Road, Merton Park
Wimbledon, Dundonald Road
Beddington Lane, Therapia Lane
Therapia Lane, Ampere Way
East Croydon, Lebanon Road
Wellesley Road, East Croydon
West Croydon, Wellesley Road
Centrale, West Croydon
Reeves Corner, Centrale
Wandle Park, Reeves Corner
Waddon Marsh, Wandle Park
Ampere Way, Waddon Marsh
Church Street, Centrale
Walthamstow Central, Blackhorse Road
Seven Sisters, Finsbury Park
Stockwell, Brixton
Tottenham Hale, Seven Sisters
Blackhorse Road, Tottenham Hale
Finsbury Park, Highbury and Islington
Warren Street, Oxford Circus
Oxford Circus, Green Park
Green Park, Victoria
Kings Cross St. Pancras, Warren Street
Victoria, Pimlico
Pimlico, Vauxhall
Vauxhall, Stockwell
Highbury and Islington, Kings Cross St. Pancras
Waterloo, Bank
